stPoint: 143, ndPoint: 143, Hue: 143
stPoint: 144, ndPoint: 144, Hue: 144
stPoint: 145, ndPoint: 145, Hue: 145
stPoint: 146, ndPoint: 146, Hue: 146
stPoint: 147, ndPoint: 147, Hue: 147
stPoint: 148, ndPoint: 148, Hue: 148
stPoint: 149, ndPoint: 149, Hue: 149
stPoint: 150, ndPoint: 150, Hue: 150
stPoint: 151, ndPoint: 151, Hue: 151
stPoint: 152, ndPoint: 152, Hue: 152
stPoint: 153, ndPoint: 153, Hue: 153
stPoint: 154, ndPoint: 154, Hue: 154
stPoint: 155, ndPoint: 155, Hue: 155
stPoint: 156, ndPoint: 156, Hue: 156
stPoint: 157, ndPoint: 157, Hue: 157
stPoint: 158, ndPoint: 158, Hue: 158
stPoint: 159, ndPoint: 159, Hue: 159
stPoint: 160, ndPoint: 160, Hue: 160
stPoint: 161, ndPoint: 161, Hue: 161
stPoint: 162, ndPoint: 162, Hue: 162
stPoint: 163, ndPoint: 163, Hue: 163
stPoint: 164, ndPoint: 164, Hue: 164
stPoint: 165, ndPoint: 165, Hue: 165
stPoint: 166, ndPoint: 166, Hue: 166
stPoint: 167, ndPoint: 167, Hue: 167
stPoint: 168, ndPoint: 168, Hue: 168
stPoint: 169, ndPoint: 169, Hue: 169
stPoint: 170, ndPoint: 170, Hue: 170
stPoint: 171, ndPoint: 171, Hue: 171
stPoint: 172, ndPoint: 172, Hue: 172
stPoint: 173, ndPoint: 173, Hue: 173
stPoint: 174, ndPoint: 174, Hue: 174
stPoint: 175, ndPoint: 175, Hue: 175
stPoint: 176, ndPoint: 176, Hue: 176
stPoint: 177, ndPoint: 177, Hue: 177
stPoint: 178, ndPoint: 178, Hue: 178
stPoint: 179, ndPoint: 179, Hue: 179
stPoint: 180, ndPoint: 180, Hue: 180
stPoint: 181, ndPoint: 181, Hue: 181
stPoint: 182, ndPoint: 182, Hue: 182
stPoint: 183, ndPoint: 183, Hue: 183
stPoint: 184, ndPoint: 184, Hue: 184
stPoint: 185, ndPoint: 185, Hue: 185
stPoint: 186, ndPoint: 186, Hue: 186
stPoint: 187, ndPoint: 187, Hue: 187
stPoint: 188, ndPoint: 188, Hue: 188
stPoint: 189, ndPoint: 189, Hue: 189
stPoint: 190, ndPoint: 190, Hue: 190
stPoint: 191, ndPoint: 191, Hue: 191
stPoint: 192, ndPoint: 192, Hue: 192
stPoint: 193, ndPoint: 193, Hue: 193
stPoint: 194, ndPoint: 194, Hue: 194
stPoint: 195, ndPoint: 195, Hue: 195
stPoint: 196, ndPoint: 196, Hue: 196
stPoint: 197, ndPoint: 197, Hue: 197
stPoint: 198, ndPoint: 198, Hue: 198
stPoint: 199, ndPoint: 199, Hue: 199
stPoint: 200, ndPoint: 200, Hue: 200
stPoint: 201, ndPoint: 201, Hue: 201
stPoint: 202, ndPoint: 202, Hue: 202
stPoint: 203, ndPoint: 203, Hue: 203
stPoint: 204, ndPoint: 204, Hue: 204
stPoint: 205, ndPoint: 205, Hue: 205
stPoint: 206, ndPoint: 206, Hue: 206
stPoint: 207, ndPoint: 207, Hue: 207
stPoint: 208, ndPoint: 208, Hue: 208
stPoint: 209, ndPoint: 209, Hue: 209
stPoint: 210, ndPoint: 210, Hue: 210
stPoint: 211, ndPoint: 211, Hue: 211
stPoint: 212, ndPoint: 212, Hue: 212
stPoint: 213, ndPoint: 213, Hue: 213
stPoint: 214, ndPoint: 214, Hue: 214
stPoint: 215, ndPoint: 215, Hue: 215
stPoint: 216, ndPoint: 216, Hue: 216
stPoint: 217, ndPoint: 217, Hue: 217
stPoint: 218, ndPoint: 218, Hue: 218
stPoint: 219, ndPoint: 219, Hue: 219
stPoint: 220, ndPoint: 220, Hue: 220
stPoint: 221, ndPoint: 221, Hue: 221
stPoint: 222, ndPoint: 222, Hue: 222
stPoint: 223, ndPoint: 223, Hue: 223
stPoint: 224, ndPoint: 224, Hue: 224
stPoint: 225, ndPoint: 225, Hue: 225
stPoint: 226, ndPoint: 226, Hue: 226
stPoint: 227, ndPoint: 227, Hue: 227
stPoint: 228, ndPoint: 228, Hue: 228
stPoint: 229, ndPoint: 229, Hue: 229
stPoint: 230, ndPoint: 230, Hue: 230
stPoint: 231, ndPoint: 231, Hue: 231
stPoint: 232, ndPoint: 232, Hue: 232
stPoint: 233, ndPoint: 233, Hue: 233
